ponto_id,lat_pred,lon_pred
0,-8.052703,-34.951702
3,-8.052703,-34.951702
8,-8.052703,-34.951702
10,-8.052703,-34.951702
12,-8.052703,-34.951702
14,-8.052703,-34.951702
17,-8.052703,-34.951702
19,-8.052703,-34.951702
23,-8.052703,-34.951702
29,-8.052703,-34.951702
30,-8.052703,-34.951702
31,-8.052703,-34.951702
33,-8.052703,-34.951702
36,-8.052703,-34.951702
37,-8.052703,-34.951702
39,-8.052703,-34.951702
41,-8.052703,-34.951702
46,-8.052703,-34.951702
47,-8.052703,-34.951702
48,-8.052703,-34.951702
50,-8.052703,-34.951702
56,-8.052703,-34.951702
58,-8.052703,-34.951702
59,-8.052703,-34.951702
61,-8.052703,-34.951702
65,-8.052703,-34.951702
68,-8.052703,-34.951702
69,-8.052703,-34.951702
70,-8.052703,-34.951702
73,-8.052703,-34.951702
76,-8.052703,-34.951702
79,-8.052703,-34.951702
80,-8.052703,-34.951702
81,-8.052703,-34.951702
87,-8.052703,-34.951702
88,-8.052703,-34.951702
91,-8.052703,-34.951702
92,-8.052703,-34.951702
93,-8.052703,-34.951702
95,-8.052703,-34.951702
96,-8.052703,-34.951702
99,-8.052703,-34.951702
100,-8.052703,-34.951702
101,-8.052703,-34.951702
102,-8.052703,-34.951702
103,-8.052703,-34.951702
104,-8.052703,-34.951702
106,-8.052703,-34.951702
107,-8.052703,-34.951702
108,-8.052703,-34.951702
111,-8.052703,-34.951702
118,-8.052703,-34.951702
119,-8.052703,-34.951702
122,-8.052703,-34.951702
131,-8.052703,-34.951702
132,-8.052703,-34.951702
135,-8.052703,-34.951702
144,-8.052703,-34.951702
149,-8.052703,-34.951702
151,-8.052703,-34.951702
157,-8.052703,-34.951702
164,-8.052703,-34.951702
167,-8.052703,-34.951702
168,-8.052703,-34.951702
169,-8.052703,-34.951702
172,-8.052703,-34.951702
176,-8.052703,-34.951702
177,-8.052703,-34.951702
179,-8.052703,-34.951702
180,-8.052703,-34.951702
181,-8.052703,-34.951702
185,-8.052703,-34.951702
196,-8.052703,-34.951702
199,-8.052703,-34.951702
209,-8.052703,-34.951702
211,-8.052703,-34.951702
212,-8.052703,-34.951702
214,-8.052703,-34.951702
217,-8.052703,-34.951702
218,-8.052703,-34.951702
221,-8.052703,-34.951702
222,-8.052703,-34.951702
229,-8.052703,-34.951702
230,-8.052703,-34.951702
233,-8.052703,-34.951702
239,-8.052703,-34.951702
245,-8.052703,-34.951702
247,-8.052703,-34.95164
248,-8.052703,-34.951702
251,-8.052703,-34.951702
252,-8.052703,-34.951702
257,-8.052703,-34.951702
263,-8.052703,-34.951702
265,-8.052703,-34.951702
267,-8.052703,-34.951702
274,-8.052703,-34.951702
286,-8.052703,-34.951702
288,-8.052703,-34.951702
291,-8.052703,-34.951702
292,-8.052703,-34.951702
300,-8.052703,-34.951702
304,-8.052703,-34.951702
308,-8.052703,-34.951702
311,-8.052703,-34.951702
315,-8.052703,-34.951702
316,-8.052703,-34.951702
318,-8.052703,-34.951702
319,-8.052703,-34.951702
321,-8.052703,-34.951702
323,-8.052703,-34.95166
328,-8.052703,-34.951702
330,-8.052703,-34.951702
332,-8.052703,-34.951702
333,-8.052703,-34.951702
334,-8.052703,-34.951702
335,-8.052703,-34.951702
337,-8.052703,-34.951702
346,-8.052703,-34.951702
349,-8.052703,-34.951702
350,-8.052703,-34.951702
353,-8.052703,-34.951702
354,-8.052703,-34.951702
360,-8.052703,-34.951702
367,-8.0525465,-34.951702
379,-8.0525465,-34.951702
381,-8.052703,-34.951702
385,-8.0525465,-34.951702
388,-8.0525465,-34.951702
393,-8.0525465,-34.951702
394,-8.0525465,-34.951702
400,-8.0525465,-34.951702
401,-8.0525465,-34.951702
402,-8.0525465,-34.951702
408,-8.052703,-34.951702
409,-8.052703,-34.951702
411,-8.052703,-34.951702
415,-8.052703,-34.951702
416,-8.052703,-34.951702
427,-8.0525465,-34.95166
429,-8.0525465,-34.95166
433,-8.0525465,-34.95166
435,-8.0525465,-34.95166
439,-8.0525465,-34.95166
445,-8.0525465,-34.95166
447,-8.0525465,-34.951702
449,-8.0525465,-34.951702
453,-8.0525465,-34.951702
455,-8.0525465,-34.951702
457,-8.0525465,-34.951702
461,-8.0525465,-34.951702
462,-8.0525465,-34.951702
465,-8.052703,-34.951702
468,-8.052703,-34.951702
472,-8.052703,-34.951702
473,-8.052703,-34.95166
474,-8.052703,-34.951702
476,-8.052703,-34.951702
477,-8.052703,-34.95166
483,-8.052703,-34.951702
485,-8.052703,-34.951702
486,-8.052703,-34.951702
487,-8.052703,-34.951702
495,-8.052703,-34.951702
496,-8.052703,-34.951702
500,-8.052703,-34.951702
503,-8.052703,-34.951702
509,-8.052703,-34.951702
510,-8.052703,-34.951702
511,-8.052703,-34.951714
513,-8.052703,-34.951702
518,-8.052703,-34.951702
524,-8.052703,-34.951702
528,-8.052703,-34.951702
530,-8.052703,-34.951702
532,-8.052703,-34.951702
533,-8.052703,-34.951702
538,-8.052703,-34.951702
540,-8.052703,-34.951702
543,-8.052703,-34.951702
544,-8.052703,-34.951702
550,-8.052703,-34.951702
551,-8.052703,-34.951702
554,-8.052703,-34.951702
555,-8.052703,-34.951702
563,-8.052703,-34.951702
564,-8.052703,-34.951702
567,-8.052703,-34.951702
568,-8.052703,-34.951702
576,-8.052703,-34.951702
577,-8.0525465,-34.951702
582,-8.052703,-34.951714
586,-8.052703,-34.951714
590,-8.052703,-34.951714
591,-8.052703,-34.951714
592,-8.052703,-34.951714
594,-8.052703,-34.951714
601,-8.052703,-34.951702
603,-8.052703,-34.951702
604,-8.052703,-34.951702
605,-8.052703,-34.951702
611,-8.052703,-34.951702
613,-8.052703,-34.951702
617,-8.052703,-34.951702
618,-8.052703,-34.951702
620,-8.052703,-34.951702
623,-8.052703,-34.951702
624,-8.052703,-34.951702
625,-8.052703,-34.951702
633,-8.052703,-34.951702
637,-8.052703,-34.951702
641,-8.052703,-34.951702
642,-8.0525465,-34.951702
647,-8.0525465,-34.951702
653,-8.0525465,-34.951714
654,-8.0525465,-34.951714
655,-8.0525465,-34.951702
664,-8.0525465,-34.951702
665,-8.0525465,-34.951702
668,-8.0525465,-34.951702
673,-8.0525465,-34.951702
675,-8.0525465,-34.951702
676,-8.0525465,-34.951702
678,-8.0525465,-34.951702
682,-8.0525465,-34.951702
683,-8.0525465,-34.951702
693,-8.0525465,-34.951702
694,-8.0525465,-34.951702
696,-8.0525465,-34.951702
700,-8.0525465,-34.951702
706,-8.0525465,-34.951702
708,-8.0525465,-34.951702
710,-8.0525465,-34.951702
711,-8.052579,-34.951767
712,-8.052019,-34.951767
713,-8.0525465,-34.951702
715,-8.0525465,-34.951702
718,-8.0525465,-34.951702
724,-8.0525465,-34.951702
730,-8.0525465,-34.951702
733,-8.0525465,-34.951702
736,-8.0525465,-34.951702
737,-8.0525465,-34.951702
738,-8.0525465,-34.951702
740,-8.0525465,-34.951702
742,-8.0525465,-34.951702
743,-8.0525465,-34.951702
744,-8.0525465,-34.951702
745,-8.0525465,-34.951702
747,-8.0525465,-34.951702
748,-8.0525465,-34.951702
749,-8.0525465,-34.951702
751,-8.0525465,-34.951702
753,-8.0525465,-34.951702
758,-8.0525465,-34.951702
759,-8.0525465,-34.951702
761,-8.0525465,-34.951702
763,-8.0525465,-34.951702
764,-8.0525465,-34.951702
765,-8.0525465,-34.951702
766,-8.0525465,-34.951702
773,-8.0525465,-34.951702
774,-8.0525465,-34.951702
782,-8.0525465,-34.951702
786,-8.0525465,-34.951702
